작성자,댓글,좋아요수,작성일
@호옹니,우리몸은 음식을 섭취하면 섭취하는 그대로 이곳저곳에 쏴주는게 아니라 일단 대사라는 과정을 거치는데 콜라겐은 아미노산으로 분해됩니다 이 말인 즉슨 콜라겐을 사먹으나 콩이나 우유같은 단백질을 섭취하든(단백질은 아미노산으로 분해됩니다^^) 큰 차이가 없다는 말입니다. 리서치 결과 눈에 띌 정도로 유의미한 결과를 얻은 제품 혹은 성분이라며 진즉에 보조식품이 아닌 의약품으로 구분되어 의사의 처방 없이는 섭취/도포가 불가능 했을것입니다. 상술에 너무들 돈쓰지말고 수고하세요^^,378,2023-01-20T13:38:06Z
@Gggomak,뭔소리야 골격근 관리가 제일 중요한데,3,2023-01-20T09:19:09Z
@이대휘-e3s,"두피 관리
피부 여드름
이너뷰티 콜라겐
얼굴형 경락
선크림
안구",2,2023-01-19T14:14:18Z
@나애요-n4f,자기관리 영상이랑 돈관리 영상도 있네 하고 더는 안되겠다 싶어서 구독하려고 했는데.. 이미 구독중이엇다 ㅎㅎ,0,2023-01-19T13:57:56Z
@김뽀잉-y2j,재유님 진짜 의상 찰떡이에요ㅠㅠ넘 이뻐욤 혹시 yuse 무슨 제품인지 제품명 알려주실 수 인ㅅ나용??,0,2023-01-19T12:33:36Z
@Rhhhhhhh-u7z,"재유님 저는 의사인데요.. 피부과 전문의는
아닌데 학생때 콜라겐 먹는 제품 먹어봤자 피부로 안간다고.. 배워서 콜라겐은 피부 재생되면서 만들어지는거라 백날 먹어도 소용없다고 배웠어서 기회되시면 확인 부탁드립니다:)",14,2023-01-19T11:57:38Z
@니가어떻게이래,선크림 밖에 안나가는 날에도 바르나용?,2,2023-01-19T07:38:53Z
@sajustory70,"자수성가할 복많은 관상이시네~
점봐드리고 싶다~^^",0,2023-01-19T07:18:43Z
@naetodal,언니... ㅠㅠㅠ 환공포증이 있어서 벽지보고 진짜 헉 했어요... 제발 저거 안 써주시면 안 될까요.. ㅠㅠㅜ 언니 영상 하나도 빠짐없이 보고 있는데 ㅜㅠㅠㅠ 😿😿😿,0,2023-01-19T05:48:41Z
@이름-l8i1q,언니 이 착장 너무 찰떡이다♡♡ 정보 고마워용,4,2023-01-19T05:47:28Z
@byeod-td,재유님은 농협은행….💚 재유X바이 오디-티디 조합은 못참죠!! 재롱이분들 피부 오디티디가 절대 지켜드릴게요💪,0,2023-01-19T00:40:16Z
@urmaecandy,감사해요!,0,2023-01-18T16:36:21Z
@평생소원이누룽디,안녕하세요 재유님 오늘도 너무 유익한 영상 잘 보다 갑니다!! 저번 영상에서 추천해주신 책 구매하고 오늘은 온열 안대!! 구매해 봐야겠어요  가끔 자기전에 눈이 아파서 고민 했었는데 재유님은 진심으로 찐템 마구마구 알려주시니까 믿고 구매 하는 것 같아요 항상 좋은 정보 공유해 주시고 진심으로 말씀해주셔서 감사합니다 정말 도움 많이 받습니다 재유님 앞으로도 건강하시고 행복하세요!!!!❤️❤️❤️❤️❤️,8,2023-01-18T15:36:45Z
@Jsdeixjsk-z7x,"여러분 콜라겐도 좋지만,,, 콜라겐을 만드는 데 직접 관여하는 성분은 비타민C입니다!!! 비타민C 많이 드세요!!",2,2023-01-18T15:14:08Z
@uj1858,"언니 인스타에서 가격조율하는 메일보고... 원래도 이 언니 찐이다 싶긴 했는데 진짜... 이 언니 미친찐이구나.. 싶었어요,,, 그래서 말인데 인스타 라방 킬 때 꼭말해조요 거의 뭐 유튜브 뺨치게 기다려져.... 소통왕 재유..... 언니가 자꾸 이런식으로 나오면 뽀뽀해줄 수 밖에 없어 쪼옥🥰  심지어 영상에서 지겹템은 볼 필요도 없이 많이 나와서 진짜 믿음 100프로........",3,2023-01-18T02:49:42Z
@둥이-w8j,온열안대 하고나서 세수한 뒤 자도 좋을까요?,0,2023-01-17T16:23:32Z
@은영최-s2s,언니 영상보고 제테크에 관심갖기 시작했는데요...! 생활비는 파킹통장에서 나가는걸로 연결해서 쓰고계신가욥? 생활비통장을 어떤걸로 써야할지 어려워서 여쭤바용😂,0,2023-01-17T16:08:00Z
@ilovemyselfnice,요즘 피부 푸석푸석해서 스트레스 받는 중인데 딱 언니영상보고 콜라겐 바로 사고왔습니당 다음에 마켓도 열어주시면 좋을거가타용❤❤,4,2023-01-17T15:00:23Z
@이지윤-p4l,메이크업 영상 말고 이런 영상도 너무 좋은거같아요 ❤️,2,2023-01-17T13:27:26Z
@나리-m5c,피부 관리면에서는 콜라겐 먹고싶은데.. 제가 아직 20대 초반이라 볼살이 넘 많아서 스트레스 받는데 콜라겐 먹으면 볼살이 찌진 않겠쬬...?!🥹,0,2023-01-17T12:40:35Z
@은하김-g2n,"두피
피부관리(여드름흉터)
이너뷰티
썬크림
얼굴형, 림프
안구",3,2023-01-17T11:22:29Z
@안온한하루-kk,가디건 너무 이뻐요 궁금해요,0,2023-01-17T09:58:02Z
@소로몬-u6j,이너뷰티는 한번도 안먹어봤는데 ㅠㅠㅠ이것도 추천해주세요 재유님,0,2023-01-17T09:56:00Z
@sw__es,"안녕하세요 재유님! 저는 그냥 구독도 하지 않고 영상을 보던 구독자였는데, 어느 순간 돈 관리 멘탈관리 등 영상을 보게 된 이후로 나에게 도움이 되는 영상들을 다 챙겨보게 되더라구요!! 항상 좋은 영상들 감사합니다❤️",26,2023-01-17T08:59:32Z
@eyess-q9t,아무리 콜라겐을바르고처먹어바라   안늙나  그냥 시술이답이다,3,2023-01-17T08:33:12Z
@율희풀라이프-i7t,뭐야....이언니 나보다 동생이었닥ㅎ....???????? 진짜 다 잘알아서 나보다 언니인줄 알았어 당연히🫢🫢🫢🫢🫢 나자신 지금까지 뮤ㅓ하고 산 거냐,186,2023-01-17T07:56:47Z
@user-wv5zh5go4t,"원래 약간 조언 같은 영상 안보고 다 넘기는데,, 재유님 영상은 찾아서 보게 돼요.. 좋은 영상들 감사합니다",3,2023-01-17T07:30:57Z
@wwi2793,"재유님!!!! 혹시 뮤신 콜라겐 드셔보셨나요?? 뮤신콜라겐 사려고 하다가 딱 영상 봤는데 언니가 추천해주신 거랑 넘넘 고민이 되네요 ㅠㅠ!! 추천해주시면 감사하겠습니담
그리구 최근에 재유님 알게되면서 재테크에도 관심이 생겼어요! 뷰티도 그렇고 도움되는 영상이 많아서 꼭 꼭 챙겨봐요 ㅎㅎ 감사합니다 🤍🤍😊",0,2023-01-17T07:25:34Z
@yu28zzq,바솔 마켓 !!!!! 언제쯤 진행될까용.... 아껴쓰는 중 ••😂 기다리는 중!!💝,1,2023-01-17T07:12:41Z
@hs9553,영상잘봤습니다 😀,1,2023-01-17T05:21:37Z
@김기선-v1w,오늘새로운영상이요재미있어요😊,0,2023-01-17T05:16:53Z
@user-x90Z-bki2-wek1,저 재유언니 인스타는 보는데 영상은 잘 안보지만…(가끔 원하는것만 봐용 ) 친언니가 없으니까 이 영상은 바로 보러왔어요,1,2023-01-17T05:13:09Z
@JIyuziyu,콜라겐 구입했어요😄올해부터 꾸준히 먹어봐야징 ㅠㅠ,1,2023-01-17T05:09:31Z
@QQKK78,"영상 항상 잘 보고 있어용!
여드름 흉터 생긴지가 꽤 됐는데 지금부터 연고 발라도 효과가 있을까요?",2,2023-01-17T03:54:31Z
@째루-g5x,온열안대 바로 구입했어요❤ 꿀정보 감사합니당,4,2023-01-17T03:41:03Z
@user-lr1of7eg9y,"콜라겐 바로 구매해버리기,,,,🫶🏻",1,2023-01-17T03:40:20Z
@jinayoo-zr8yn,"재유님 찐-추천이면 믿고 바로 겟해야죠ㅎㅎ 
이제 곧 서른이라.. 올해부터 콜라겐 챙겨먹으렵니다 ♥",6,2023-01-17T01:57:30Z
@아비게일-z7p,"안그래도 콜라겐 고민하고 있었는데!
재유님이 추천해주시니 믿고 구매해봐야겠어요 ㅎㅎ
이번 영상도 잘 보고 가요 💕💕",5,2023-01-17T01:52:44Z
@호풀리,오옹 마침 콜라겐 어떤거 먹어야할지 고민중이었는데!! 콜라겐 추천이라니 너무너무 도움됐어여~ 💕💕,1,2023-01-17T01:49:37Z
@ddiyoying,자기관리에 소홀했던 나... 재유님 영상보고 반성합니다 ㅜㅜ 다시 새해를 맞아 계획을 짜봐야겠어요!,2,2023-01-17T01:15:00Z
@k-dounut,언뉭 생얼로 다녀도 썬크림 매일 발라야 되나용?? ㅠㅠ,0,2023-01-17T01:06:07Z
@syjuknow,95년샹 ㅠㅠㅠ,0,2023-01-17T01:05:15Z
@혜지-y2b,재유님 이 콜라겐 먹고 효과 보신 점이 있나용..?,0,2023-01-17T00:53:31Z
@Jyb0902,재유님이 픽한 콜라겐이라니 믿고 구매하지요🫶 곧 설인데 가족선물로도 딱이겠어요!,1,2023-01-17T00:29:19Z
@Sam-us2ux,สวัสดีครับ😊,2,2023-01-17T00:19:45Z
@Ioio0101,언니 썬크림 관련으로 고민이 있어요! 썬크림을 바르면 자외선은 물론이고 햇빛으로 얻을 수 있는 몸에 필요한 다른 성분들도 차단하게 된다고 들었는데…… 매일 회사-집만 반복해서 다니니 오히려 선크림을 바르는 게 더 좋지 않은 게 아닌가 싶은 생각이 들거든요😅 누구는 바르는 게 좋다고 하고 누구는 바깥활동 없으면 안 바르는 게 좋다고 하고…… 어떻게 해야할까요😢?,0,2023-01-16T23:36:44Z
@황혜림-z5x,30대 재롱이로서 진짜 공감하면서 봤어요! 20대때는 상한 머릿결만 챙기면 됐는데 이제는 여름만되면 두피도 말썽ㅠㅠ  콜라겐도 작년부터 챙겨 먹기 시작했는데 확실히 먹는거 안먹는거 다릅니다 안먹으면 담날 피부가 욕함😂,57,2023-01-16T23:32:45Z
@나부작의사부작,콜라겐 혹시 임부 섭취도 가능한가요 ?,0,2023-01-16T22:48:46Z
@shelly_najeon,너무너무 도움됐어용 재유님 ❤ ❤❤,2,2023-01-16T21:56:19Z
@laven_deer_1,"스무살 되자마자 두피에 맞는 샴푸, 머릿결 좋아지는 트리트먼트, 뿌리는 두피 토닉 등등에 돈을 써보니까 삶의 질이 훨씬 올라갔어요.... 여러분 꼭 일찍 시작하세요 ㅠㅠ 
+ ) 재유님이 언급하신 관리들 외에는 치아 관리도 추천 드려요! 
1. 스케일링 자주 받기 
2. 식후에 가글, 양치 꼭 하기
3. 자기 전에 치실 사용하기",39,2023-01-16T19:51:27Z
@cherry_00plz,혹쉬 여드름 흉터 노스카나같은 약국템 안쓰고 화장품 브랜드에서 나오는걸 쓰시는 이유가 있나용??,0,2023-01-16T17:34:48Z
@라일라-i9q,안그래도 환연 나연님이 광고하는거 보구 궁금했는데 영상보고 홀린듯이 주문완❤,0,2023-01-16T16:51:00Z
@옌이-g6m,언니 이제 막 스무살된 재롱이도 콜라겐 먹어도 되나요??,0,2023-01-16T16:34:49Z
@sgjduib6881,이런 영상도 너무 좋으네요🥰 재유님의 립이랑 블러셔도 너무 예뻐보여서 좋아요😍 (뭐쓰셨나용!!!속닥속닥),0,2023-01-16T15:43:23Z
@뿌앙-i9y,이런영상 넘 조앙❤❤❤,0,2023-01-16T15:41:07Z
@민씨-f6e,썬크림 겨울에도 발라야하나요 ??😮,0,2023-01-16T15:26:18Z
@ellie_jy_kim,언니••• 정보에 제품 추천까지••• 떠먹여줘서 감사합니다 🥹❤️,7,2023-01-16T15:06:24Z
@젠장-d7c,언니 진짜 똑부러진다 이런 얘기 해줄 수 있는 언니가 되고싶다...,3,2023-01-16T14:49:06Z
@hi_yevin,진짜 재유언니 말만 들어도 나 성공할거같애 ... 오늘도 영상 만들어줘서 고마워요 💗💗💗💗,2,2023-01-16T14:45:28Z
@sldrlflqpxl,내년에 30대요…..?!….???,1,2023-01-16T14:37:29Z
@여1004신,재유님 의상도 궁금해요 ~,1,2023-01-16T14:32:44Z
@doujomin545,"언니 영상 너무 잘봤어요 ㅠㅠㅠ 진짜 이렇게 도움되는 영상 너무 좋아요 😭😭
혹시 이 영상보고 라운드랩 자작나무 선크림 사려고하는데 바르고 위에 파데나 쿠션 바로 발라도 될정도인가요??",0,2023-01-16T14:27:01Z
@r_r7356,언니 옷 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여며 여미라구요!!!!! 우리 언니 속살 안돼 절대 지켜….,0,2023-01-16T14:26:13Z
@믕-k1c,언니가 말씀하신 것들 다 너무 동의하는데 경락은 개인적으로 저는 비추요 ㅠㅠ 강남에 연예인들 많이 다닌다는 경락샵에서 거의 2년 넘게 꾸준히 잘 받다가 정말 딱 한 번 관리사님 컨디션이 안 좋았는지 강도 조절이 안 된 건지.. 얼굴 엄청 붓고 좁쌀 여드름 나고 난리였는데 그 이후로 경락이랑 안 맞는 체질 돼서 얼굴형 오히려 망가지고.. 그거 복구하느라 돈 엄청 썼어요 ㅋㅋㅋㅋㅋ 특히 골격이 덜 자란 10대분들은 경락은 커녕 괄사도 절대 얼굴에다 직접 하지 마세요..,11,2023-01-16T14:00:49Z
@dandelion_lily,꿀팁 가득.. 구독자를 사랑하는게 느껴지는 떠먹여주는 꿀팁..,2,2023-01-16T13:37:53Z
@맠쥬,언니 오늘도 조언 고마워요♡ 역행자 읽었는데 진짜 쉽게 술술 읽혀서 좋더라구요!! 혹시 체력 관리는 따로 하시는거 있나요? 예전에 추천해주신 명작수는 쵸큼..비싸소..헿...,9,2023-01-16T13:36:07Z
@user-gq9ob8tg7u,재유님 단발 너무 잘어울려요 ㅎㅎ 영상보니까 콜라겐이랑 안구관리 시작해야겠어요 좋은정보 감사합니당,7,2023-01-16T13:34:41Z
@조혜린-q9k,"평소에 재유님 영상 챙겨보고있는데, 
자기관리 영상이 넘 좋아요
새해되고 나이 한살 먹어서 그런가 요즘 관리욕구가 막 생기네요 ㅎㅎ
자주 올려주세용 :)",8,2023-01-16T13:24:45Z
@minzzing25,재유언니 믿고 홀린듯이 콜라겐 구매 했습니다❤,1,2023-01-16T13:19:26Z
@마쮸-v7l,막 올라오는 트러블이랑 흉터가 같이 있는 총체적 난국인 피부인데 스팟젤이랑 블레미쉬 트리트먼트 같이 사용해도 되나용?? 격일로 사용해야 할까요?,1,2023-01-16T13:05:07Z
@cherrycoke1234,오 재유님 이날 사진 찍으신 날이쥬? 예뻐요❤,1,2023-01-16T13:02:57Z
@ssssssssssom,어머니 선물로 콜라겐 샀어요오❤️❤️👍,2,2023-01-16T13:01:51Z
@fallruby,재유님재유님 관리하니까 생각났는데!!! 제가 쌍수 재수술을 앞두고있는데요 ㅠㅠ 인보라님이 재유님으로부터 브로멜라인을 선물 받아서?! 추천받아서?! 먹고있다고 하셨는데!! 재유님도 드셨나요?! 쌍꺼풀 너무 예쁘게 자리 잡고있는것같아요!! 며칠차부터 브로멜라인 챙겨 드셨나요?!❤,1,2023-01-16T12:59:18Z
@hyo_jiiiiiiiin,K장녀인 나...언니가 내 친언니해쥬💙,2,2023-01-16T12:52:56Z
@지현이-x8m,저 이제 슴살됐자나용💕장녀라 이런거 알려주는 사람이 없어서 서러웠는데 갑자기 언니가 생긴 것 같구 그래요🥹,7,2023-01-16T12:41:10Z
@theyeolyn_,언제나 꿀팁 가득한 재유님 영상🥰응원합니다:),11,2023-01-16T12:40:07Z
@차빈_chabin,재유님~ 이후에 혹시 콜라겐 마켓 예정도 있으신가용?? 지금 많이 사기엔 제 텅장이….혹시 있나요용??,3,2023-01-16T12:39:19Z
@hyuna-pw7sr,저두 콜라겐 바로 샀어여!!❤ 새해 기념 피부 관리하려구용😌,4,2023-01-16T12:37:32Z
@ra__luv.h,재유님! 너무 뜬금없지만 머리색이 너무이쁘셔서 무슨색으로 염색하신건가용?!,1,2023-01-16T12:35:32Z
@kerohwnag,오늘도 꿀팁 그득그득❤ 콜라겐 궁금해서 들어가봣는데 증정품 엄청나서 홀린듯이 샀어욬ㅋㅋ머선일ㅋㅋㅋㅋ역시 재유소개템 믿고 구경해😘😘,3,2023-01-16T12:34:23Z
@COMI-rr3nr,해가 갈수록 탄력이 떨어지는게 보여서 고민이었는데 콜라겐 바로 장바구니 담았어요ㅎㅎ 혹시 탄력관리용 기기나 바르는 기초제품도 추천해주실 수 있나요,3,2023-01-16T12:33:14Z
@whelpjiwon,오왕♥️ 재유템추천 너무 좋아용 저 콜라겐 저도 먹어봤는데 너무좋더라고요 무슨말씀하시는지 쏙쏙! 지인들한테 추천하구 댕겨요,2,2023-01-16T12:28:35Z
@meongryong,언니 저번 영상 보고 책 이것저것 빌려봤어요 ! 역행자 다 읽으면 비상식적 성공 법칙 읽으려구용 ㅎㅎㅎ 이번 영상도 잘 보고 갑니다 💕,9,2023-01-16T12:25:37Z
@홍홍-t1m,재유님이 아껴주는 동생되고싶다😚😚,117,2023-01-16T12:24:35Z
@혜뜨는일상,"썬크림아침에는 바르고 나가는데 오후에는 시간이 오래지나서 효과가 떨어진다고 들었어요 화장한상태라 일반 선크림 덧바르기는 어려운데 쿠션팩트로 선크림역할을 대신하시나요?
여름철에는 좀 걱정이 되더라구요,,",1,2023-01-16T12:23:45Z
@hornymonkey946,요즘 유튜브에 진짜 친언니도 안하는 조언해주는 컨텐츠 늘어나서 너무좋다..,81,2023-01-16T12:22:58Z
@Yskyoonseo,응애 재롱이… 언니가 떠먹여주는 꿀정보로 갓생녀 될거에요 >.<,1,2023-01-16T12:18:40Z
@용복이옆에또복이,우와 콜라겐!! 재유님 찐 추천 맞죠?! 당장 구매해~~~,2,2023-01-16T12:12:37Z
@박기범-b2s,재유님 영상을 재미있게 볼게요,1,2023-01-16T12:11:26Z
@JEYU,"❤️트루알엑스 리치콜라겐 구매 링크❤️
(마켓 아님! 판매 수익과 관계 없음!)
http://bit.ly/3iyQJRQ
0:00오프닝
0:42첫번째
2:23두번째
4:24세번째
8:48네번째
10:49다섯번째
12:26여섯번째",341,2023-01-16T12:10:54Z
@제로-e8b,1빠❤️ 웅니 사랑해🥺,2,2023-01-16T12:10:34Z
